0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1.0,59.0,8.0,1.0,29.0,0.0,437.0,3481.0,472.0,59.0,1711.0,0.0,25783.0,64.0,8.0,232.0,0.0,3496.0,1.0,29.0,0.0,437.0,841.0,0.0,12673.0,0.0,0.0,190969.0
1.0,45.0,0.0,0.0,18.0,1.0,233.0,2025.0,0.0,0.0,810.0,45.0,10485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,18.0,4194.0,1.0,233.0,54289.0
1.0,59.0,0.0,2.0,47.0,0.0,330.0,3481.0,0.0,118.0,2773.0,0.0,19470.0,0.0,0.0,0.0,0.0,0.0,4.0,94.0,0.0,660.0,2209.0,0.0,15510.0,0.0,0.0,108900.0
1.0,58.0,2.0,2.0,33.0,0.0,392.0,3364.0,116.0,116.0,1914.0,0.0,22736.0,4.0,4.0,66.0,0.0,784.0,4.0,66.0,0.0,784.0,1089.0,0.0,12936.0,0.0,0.0,153664.0
1.0,17.0,0.0,1.0,26.0,0.0,67.0,289.0,0.0,17.0,442.0,0.0,1139.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,67.0,676.0,0.0,1742.0,0.0,0.0,4489.0
1.0,11.0,10.0,0.0,69.0,1.0,119.0,121.0,110.0,0.0,759.0,11.0,1309.0,100.0,0.0,690.0,10.0,1190.0,0.0,0.0,0.0,0.0,4761.0,69.0,8211.0,1.0,119.0,14161.0
1.0,32.0,3.0,0.0,61.0,1.0,352.0,1024.0,96.0,0.0,1952.0,32.0,11264.0,9.0,0.0,183.0,3.0,1056.0,0.0,0.0,0.0,0.0,3721.0,61.0,21472.0,1.0,352.0,123904.0
1.0,55.0,3.0,0.0,41.0,1.0,62.0,3025.0,165.0,0.0,2255.0,55.0,3410.0,9.0,0.0,123.0,3.0,186.0,0.0,0.0,0.0,0.0,1681.0,41.0,2542.0,1.0,62.0,3844.0
1.0,56.0,2.0,2.0,33.0,0.0,132.0,3136.0,112.0,112.0,1848.0,0.0,7392.0,4.0,4.0,66.0,0.0,264.0,4.0,66.0,0.0,264.0,1089.0,0.0,4356.0,0.0,0.0,17424.0
1.0,28.0,4.0,1.0,57.0,0.0,525.0,784.0,112.0,28.0,1596.0,0.0,14700.0,16.0,4.0,228.0,0.0,2100.0,1.0,57.0,0.0,525.0,3249.0,0.0,29925.0,0.0,0.0,275625.0
1.0,1.0,3.0,2.0,31.0,0.0,650.0,1.0,3.0,2.0,31.0,0.0,650.0,9.0,6.0,93.0,0.0,1950.0,4.0,62.0,0.0,1300.0,961.0,0.0,20150.0,0.0,0.0,422500.0
1.0,54.0,10.0,1.0,43.0,1.0,401.0,2916.0,540.0,54.0,2322.0,54.0,21654.0,100.0,10.0,430.0,10.0,4010.0,1.0,43.0,1.0,401.0,1849.0,43.0,17243.0,1.0,401.0,160801.0
1.0,59.0,1.0,2.0,28.0,1.0,490.0,3481.0,59.0,118.0,1652.0,59.0,28910.0,1.0,2.0,28.0,1.0,490.0,4.0,56.0,2.0,980.0,784.0,28.0,13720.0,1.0,490.0,240100.0
1.0,58.0,5.0,1.0,59.0,1.0,477.0,3364.0,290.0,58.0,3422.0,58.0,27666.0,25.0,5.0,295.0,5.0,2385.0,1.0,59.0,1.0,477.0,3481.0,59.0,28143.0,1.0,477.0,227529.0
1.0,52.0,2.0,0.0,50.0,1.0,25.0,2704.0,104.0,0.0,2600.0,52.0,1300.0,4.0,0.0,100.0,2.0,50.0,0.0,0.0,0.0,0.0,2500.0,50.0,1250.0,1.0,25.0,625.0
1.0,33.0,8.0,0.0,18.0,0.0,546.0,1089.0,264.0,0.0,594.0,0.0,18018.0,64.0,0.0,144.0,0.0,4368.0,0.0,0.0,0.0,0.0,324.0,0.0,9828.0,0.0,0.0,298116.0
1.0,28.0,4.0,1.0,52.0,1.0,372.0,784.0,112.0,28.0,1456.0,28.0,10416.0,16.0,4.0,208.0,4.0,1488.0,1.0,52.0,1.0,372.0,2704.0,52.0,19344.0,1.0,372.0,138384.0
1.0,36.0,5.0,0.0,44.0,1.0,489.0,1296.0,180.0,0.0,1584.0,36.0,17604.0,25.0,0.0,220.0,5.0,2445.0,0.0,0.0,0.0,0.0,1936.0,44.0,21516.0,1.0,489.0,239121.0
1.0,52.0,5.0,1.0,55.0,0.0,590.0,2704.0,260.0,52.0,2860.0,0.0,30680.0,25.0,5.0,275.0,0.0,2950.0,1.0,55.0,0.0,590.0,3025.0,0.0,32450.0,0.0,0.0,348100.0
1.0,11.0,6.0,1.0,35.0,1.0,145.0,121.0,66.0,11.0,385.0,11.0,1595.0,36.0,6.0,210.0,6.0,870.0,1.0,35.0,1.0,145.0,1225.0,35.0,5075.0,1.0,145.0,21025.0
1.0,5.0,1.0,2.0,20.0,0.0,609.0,25.0,5.0,10.0,100.0,0.0,3045.0,1.0,2.0,20.0,0.0,609.0,4.0,40.0,0.0,1218.0,400.0,0.0,12180.0,0.0,0.0,370881.0
1.0,49.0,9.0,1.0,30.0,0.0,110.0,2401.0,441.0,49.0,1470.0,0.0,5390.0,81.0,9.0,270.0,0.0,990.0,1.0,30.0,0.0,110.0,900.0,0.0,3300.0,0.0,0.0,12100.0
1.0,35.0,2.0,1.0,65.0,1.0,612.0,1225.0,70.0,35.0,2275.0,35.0,21420.0,4.0,2.0,130.0,2.0,1224.0,1.0,65.0,1.0,612.0,4225.0,65.0,39780.0,1.0,612.0,374544.0
1.0,33.0,5.0,0.0,18.0,0.0,670.0,1089.0,165.0,0.0,594.0,0.0,22110.0,25.0,0.0,90.0,0.0,3350.0,0.0,0.0,0.0,0.0,324.0,0.0,12060.0,0.0,0.0,448900.0
1.0,9.0,9.0,2.0,51.0,0.0,678.0,81.0,81.0,18.0,459.0,0.0,6102.0,81.0,18.0,459.0,0.0,6102.0,4.0,102.0,0.0,1356.0,2601.0,0.0,34578.0,0.0,0.0,459684.0
1.0,23.0,8.0,2.0,48.0,0.0,545.0,529.0,184.0,46.0,1104.0,0.0,12535.0,64.0,16.0,384.0,0.0,4360.0,4.0,96.0,0.0,1090.0,2304.0,0.0,26160.0,0.0,0.0,297025.0
