CustomerID,SubscriptionLength,LastLogin,SupportTickets,PaymentHistory,Age,Gender,Churn
e3e70682-c209-4cac-a29f-6fbed82c07cd,55,2023-04-08,6,late,20,Female,1
82e2e662-f728-44fa-8248-5e3a0a5d2f34,26,2023-05-29,4,late,40,Male,0
d4713d60-c8a7-4639-ab11-67b367a9c378,19,2023-01-07,2,on-time,57,Female,0
9558867f-5ba9-4faf-ba02-4204f7c1bd87,20,2024-04-08,1,delayed,22,Female,1
23a7711a-8133-4876-b7eb-dcd9e87a1613,36,2022-12-21,1,late,45,Female,0
9e4d6e3c-1846-4424-817c-627923c6612f,36,2024-01-27,7,late,51,Female,0
88561712-e8e5-416a-bcbd-04c340212ef7,52,2023-11-15,8,on-time,23,Female,0
259f4329-e6f4-490b-9a16-4106cf6a659e,40,2023-01-12,7,late,33,Female,0
e61a441c-12e0-48b2-bad6-40fb19488dec,13,2024-03-07,9,on-time,33,Male,1
8f4ff31e-78de-4857-9487-ce1eaf19922a,6,2022-08-03,1,late,50,Female,0
9c6316b9-50f2-4455-af25-e2a25a921187,20,2023-09-26,8,late,63,Male,1
8d723104-f773-43c1-b458-a748e9bb17bc,53,2023-05-22,8,on-time,69,Female,1
42af9fc3-8577-4e9a-9d84-f39e71545a13,6,2022-07-04,9,late,38,Male,1
ea7e9d49-8c77-4ea6-ab20-83e6ce164dba,12,2022-05-27,3,on-time,20,Female,1
66194cb1-d710-47d1-b83e-90ec17e0aa3c,5,2023-11-19,1,delayed,66,Male,0
a0116be5-ab0c-4681-88f8-e3d0d3290a4c,60,2022-05-17,0,on-time,62,Female,1
de1b372a-d3fb-447a-be5b-1e7f9ca5499d,34,2023-01-30,3,on-time,61,Female,1
b421eaeb-5340-47ca-baf3-897a3e70f16a,29,2024-03-23,7,delayed,59,Female,0
9148624f-eac1-414f-b0e9-c5cc101fbccc,21,2022-11-05,9,on-time,49,Female,0
247a8333-f7b0-47d2-8da8-056c3d15eef7,16,2024-01-30,0,delayed,35,Male,0
149818d1-1759-4dc3-b2ae-22448b0163c1,24,2023-01-20,2,late,45,Male,0
eece328b-ff7b-418e-8208-65d6e005b860,51,2023-06-01,2,delayed,32,Male,0
4a84eb03-8d1f-49b7-8d2b-9deb1beb3711,2,2023-11-16,1,delayed,30,Male,1
d080e66e-552f-433a-8c25-166a1ff39849,6,2024-05-02,5,on-time,20,Male,0
cca74147-f6be-4f72-b405-095c8a5006c1,12,2023-08-28,1,late,31,Male,0
71eacd05-49a3-480e-966e-12778c1745a7,35,2022-07-27,6,delayed,24,Female,0
5129fb7c-6288-41a5-8c45-782198a6416d,15,2023-08-07,1,delayed,37,Female,1
307bf326-2f12-4554-8a53-08cc3dfabc08,12,2024-02-14,0,delayed,47,Male,0
fb3675b8-9cde-43e6-8870-e15c2fcd81b5,45,2023-10-09,6,on-time,34,Female,1
16febaa0-11af-423d-b9fd-ef7c42930b33,54,2023-10-26,9,on-time,62,Male,0
2648ee38-e074-45eb-a156-63abc1f254b8,51,2024-05-03,10,on-time,28,Female,1
e5eeac76-148b-4758-97ab-792809e469e6,8,2023-11-11,9,late,60,Male,0
aef9c00b-8a64-41b9-9450-fe4aec4f217b,31,2023-03-16,10,late,54,Female,1
468ff53d-864a-4a50-b48d-73f1d67e55fd,25,2023-06-26,10,late,27,Male,1
37176e84-d977-4993-bc49-d76fcfc6e625,48,2024-04-11,1,late,65,Male,1
f323ca74-d344-4490-96fd-35d0adf20806,9,2023-04-07,3,late,40,Female,1
7e1ea9c5-7358-4a81-8674-37419466e472,38,2023-10-11,10,delayed,26,Female,1
eabca8d0-b341-4acd-bf0a-c0f1a425799a,48,2024-01-23,6,delayed,23,Male,0
9cdf5a86-5306-43f5-9516-65705b7c709a,45,2022-08-14,5,on-time,33,Male,1
55d44936-a151-4607-964a-870c7c879b74,25,2024-03-03,10,delayed,44,Male,1
bb42e0b2-0426-465e-be37-952d30bcab0e,56,2022-12-13,9,late,67,Male,0
5f3f5638-3870-4a14-b490-b6081dfc8352,29,2024-01-24,1,late,62,Male,1
d0dfae43-6d16-4e18-9521-16dd2ba4b180,34,2022-07-04,7,delayed,56,Male,0
daf66c5f-2577-4ffa-887a-746319c16a0d,32,2023-11-09,5,late,47,Male,1
92e8e269-d12e-4bc4-8b94-75b138018b47,13,2023-09-21,8,delayed,23,Male,0
9a27d858-88c1-42ad-afbf-c19ee8f6cf32,26,2023-10-27,10,late,38,Male,0
a28f5ab0-1fdb-4b32-86d5-99e812f175ff,1,2022-10-10,0,delayed,51,Male,0
1ea45cd6-9371-471f-9480-865f9b38fe80,8,2023-03-16,9,delayed,30,Female,1
fb0323a1-d576-4415-9ec1-7dbe176ea1b1,45,2022-08-15,2,on-time,48,Female,0
31d0b664-0589-4877-9b02-52440950fd13,2,2022-10-07,4,late,69,Male,1
35e8579a-7aaf-4e89-9fb7-97fab7d6467b,9,2023-12-02,10,delayed,70,Female,0
ade9b2b4-efdd-45f8-8fa3-4266ccfdba9b,56,2022-06-03,2,late,19,Male,0
19fbeb1d-9edf-43da-acf5-5b158b53031d,14,2024-02-25,10,late,53,Female,1
126cbc8f-3888-4479-91eb-cd49428a1c22,37,2023-10-01,0,delayed,62,Female,1
2e295065-6fa2-41e9-99ac-dd984d125e7f,41,2022-07-03,6,late,52,Male,0
98b33c6e-0a14-490a-b795-e98680ee526e,25,2022-08-03,9,late,18,Male,0
3308fb2e-642a-4d48-bcfc-fa81b306d700,18,2022-12-05,5,late,68,Female,0
78601602-bb4a-46cb-a786-ab375bca47be,22,2024-02-27,9,on-time,20,Female,0
2b5f6932-91dc-49ef-ab21-a3f6e6fd68e8,10,2023-11-09,9,late,41,Female,0
c470f0e7-f76f-4fb8-b412-fc12ac322c12,19,2022-07-01,1,late,64,Male,0
d86dbf11-2880-4c5d-ad1b-8f60c9e4dab2,20,2022-09-19,2,delayed,64,Male,1
1e01a934-402d-4baf-878b-9f6b57a1cb71,26,2023-08-23,5,late,44,Male,0
2cc0f859-aa65-44ab-b13b-7e05ebe21368,36,2022-05-27,7,late,39,Female,0
e66cd36e-68ef-4f5f-ae68-690a78bc7175,31,2023-08-02,1,delayed,49,Female,0
4fbaecc0-eae2-425e-8233-9e23dff3334b,20,2023-10-03,5,delayed,61,Male,0
a859890c-d670-4668-a37e-0edc5b6e4ae7,41,2022-11-27,9,late,69,Male,0
032f06ca-b0d9-42aa-8f83-7ef727460f22,52,2023-05-07,1,on-time,65,Male,0
bd30291a-55fe-408e-943e-2e04bdd7d19b,25,2022-06-21,0,on-time,43,Female,1
3d792fa1-2284-47a4-87e7-f5938b5885ca,59,2023-12-29,7,delayed,63,Male,1
9c31d9b2-5a2b-445b-bb59-051bf40048d7,6,2022-12-26,5,on-time,34,Male,1
f2686baa-971c-402d-9bf4-9c04ac642b4c,13,2024-04-08,5,on-time,22,Male,1
21e15094-9efe-4464-9a90-f534a23d4c9d,49,2023-11-23,10,on-time,25,Female,1
6a174c1c-bf9c-4545-a355-18f74f6fa985,17,2024-02-19,3,delayed,20,Male,0
98363189-0063-442f-94aa-451ca69cfb85,7,2022-10-13,3,late,42,Female,0
3d4a5d51-28fa-4d04-959b-5975b2d650af,7,2022-11-06,9,late,27,Female,1
b5d97ef7-60ef-4471-b2b8-ff39a32c9b6f,57,2024-03-26,8,late,61,Female,1
6a1689ad-dfe1-4307-9172-5f0aac7c8803,32,2022-06-10,10,delayed,30,Male,0
9145de05-b3ab-4b2c-9f26-f51766faf989,22,2023-04-06,5,late,20,Male,1
0bf9c0ef-b581-4b74-a985-ab61c5adf681,39,2022-09-22,2,late,55,Female,1
b3969057-425c-4200-905a-da6b720299e3,5,2022-09-16,1,delayed,20,Male,0
7cbd7025-e28b-49ff-870f-084c7244f536,9,2024-04-21,0,late,18,Female,1
0004884c-c167-433f-9a9e-43108fb83bab,56,2024-04-02,2,on-time,59,Female,1
4fe30c9a-5371-4f57-be9c-f84f09f6048f,33,2024-02-26,6,delayed,50,Male,0
d29dc5df-cf1d-4110-8cc3-6d8c77863fe5,44,2024-03-26,8,delayed,22,Female,0
3020da5c-6a46-421a-8ffa-6cddf963a7ef,19,2023-07-17,8,delayed,44,Female,1
fa83ada4-a212-4ac5-b689-a4a5ffda0336,39,2022-07-20,9,on-time,69,Male,0
fca05536-2169-4f82-b9bd-ee2dd663049d,48,2022-05-28,2,late,50,Female,1
6ae04d52-adb3-48cb-b315-8c0c66dd7794,5,2023-01-17,7,late,70,Female,1
b7a28e0a-03a8-4879-b6a9-8d7400de59f5,25,2023-12-24,6,on-time,28,Male,0
acfebb4b-d29e-4693-baf1-501b009a815b,19,2023-07-01,5,on-time,20,Female,1
1e707c52-30c1-4b6a-9908-65159cb017c1,10,2023-09-01,7,delayed,63,Male,0
4d6b234f-dfa7-46ed-b2d1-f81ba636425c,52,2022-12-20,5,late,20,Female,1
19a5711b-2ea6-4b99-ba7f-f8bfb044284a,30,2023-05-21,0,on-time,48,Male,0
a0acf4c9-658d-417e-ac3a-a314da9bb017,3,2022-07-19,9,delayed,26,Female,0
73f660d8-e9f4-4cc0-8653-a5600597aab6,45,2024-01-28,8,delayed,40,Male,1
41a93f90-dc82-4527-9da3-b7e2cad6e514,51,2022-08-28,7,on-time,21,Female,1
a699bae0-d138-4150-8557-716aa7502a81,42,2023-09-29,1,delayed,63,Female,0
27896389-df32-47fd-9d77-ce4058d87776,59,2022-12-19,6,late,65,Male,0
0a68e88e-0ad4-4415-84c1-4982d9ead926,3,2022-10-23,6,late,41,Male,1
50910bdc-8ef0-46d4-8279-b14dae55cdff,23,2023-02-25,10,on-time,20,Male,1
d974c146-e8ec-41b3-9145-91aef03d866a,17,2022-06-18,0,delayed,60,Male,0
b38a05fb-f611-44ce-bfc7-4ca9d8ab0b30,6,2023-08-31,10,delayed,62,Female,1
a4e695c9-b65d-4226-be96-9cf3a7c5cb87,8,2024-04-17,2,late,54,Female,0
5f58d5b5-6f79-4959-a3e0-4b3b756b0715,60,2024-03-23,1,late,22,Male,1
6025f0ae-3535-4579-ada4-4da189b5b368,50,2023-08-16,2,delayed,19,Female,1
